Meter ID,Service Address,Occupant Name,Account Number,Reading Date,Cumulative Reading,Unit,Diagnostic Flag,Route,Notes
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025-07-13,418040,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025-08-14,427266,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025-09-15,436499,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025-10-16,443640,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025-11-12,449238,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025-12-13,454794,gallons,,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025-07-13,323951,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025-08-14,328533,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025-09-15,331664,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025-10-16,334852,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025-11-12,337500,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025-12-13,339898,gallons,,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025-07-13,153199,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025-08-14,156726,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025-09-15,159293,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025-10-16,161504,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025-11-12,163241,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025-12-13,165023,gallons,,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025-07-13,375747,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025-08-14,386518,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025-09-15,395049,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025-10-16,404095,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025-11-12,410078,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025-12-13,416386,gallons,,R5,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025-07-13,201369,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025-08-14,207541,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025-09-15,212899,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025-10-16,216806,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025-11-12,220414,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025-12-13,224076,gallons,,R6,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025-07-13,247355,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025-08-14,253444,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025-09-15,258840,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025-10-16,262919,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025-11-12,266463,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025-12-13,269311,gallons,,R1,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025-07-13,342323,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025-08-14,348187,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025-09-15,352554,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025-10-16,357086,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025-11-12,360166,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025-12-13,363600,gallons,,R2,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2025-07-13,220919,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2025-08-14,225698,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2025-09-15,229251,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2025-10-16,232828,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2025-11-12,235455,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2025-12-13,237638,gallons,,R3,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2025-07-13,190653,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2025-08-14,200426,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2025-09-15,209280,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2025-10-16,218065,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2025-11-12,223591,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2025-12-13,229040,gallons,,R4,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2025-07-13,319240,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2025-08-14,322892,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2025-09-15,326519,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2025-10-16,329825,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2025-11-12,332356,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2025-12-13,334850,gallons,,R5,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2025-07-13,431599,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2025-08-14,441980,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2025-09-15,449899,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2025-10-16,456882,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2025-11-12,462129,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2025-12-13,468408,gallons,,R6,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2025-07-13,204620,gallons,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2025-08-14,214884,gallons,,R1,
