Meter ID,Service Address,Occupant Name,Account Number,Reading Date,Cumulative Reading,Unit,Diagnostic Flag,Route,Notes
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024-08-12,342262,gallons,,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024-08-12,288864,gallons,,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024-08-12,126657,gallons,,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024-08-12,282791,gallons,,R5,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024-08-12,151660,gallons,,R6,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024-08-12,202049,gallons,,R1,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024-08-12,297978,gallons,,R2,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024-08-12,185136,gallons,,R3,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024-08-12,101157,gallons,,R4,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024-08-12,285822,gallons,,R5,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024-08-12,349768,gallons,,R6,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024-08-12,113396,gallons,,R1,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024-08-12,84460,gallons,,R2,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024-08-12,395753,gallons,,R3,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024-08-12,341999,gallons,,R4,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024-08-12,66421,gallons,,R5,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024-08-12,102234,gallons,,R6,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024-08-12,176784,gallons,,R1,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024-08-12,140898,gallons,,R2,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024-08-12,269028,gallons,,R3,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024-08-12,310084,gallons,,R4,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024-08-12,311701,gallons,,R5,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024-08-12,172175,gallons,,R6,
M-1024,"268 Maple Ave, Wiley, CO 81092",Resident 1024,A-20024,2024-08-12,264000,gallons,,R1,
M-1025,"275 Oak St, Wiley, CO 81092",Resident 1025,A-20025,2024-08-12,90179,gallons,,R2,
M-1026,"282 Elm St, Wiley, CO 81092",Resident 1026,A-20026,2024-08-12,142182,gallons,,R3,
M-1027,"289 3rd Ave, Wiley, CO 81092",Resident 1027,A-20027,2024-08-12,260857,gallons,,R4,
M-1028,"296 5th St, Wiley, CO 81092",Resident 1028,A-20028,2024-08-12,61629,gallons,,R5,
M-1029,"303 Ranch Rd, Wiley, CO 81092",Resident 1029,A-20029,2024-08-12,266124,gallons,,R6,
M-1030,"310 Irrigation Ln, Wiley, CO 81092",Resident 1030,A-20030,2024-08-12,198051,gallons,,R1,
M-1031,"317 North Frontage, Wiley, CO 81092",Resident 1031,A-20031,2024-08-12,296918,gallons,,R2,
M-1032,"324 South Loop, Wiley, CO 81092",Resident 1032,A-20032,2024-08-12,205036,gallons,,R3,
M-1033,"331 Pioneer Rd, Wiley, CO 81092",Resident 1033,A-20033,2024-08-12,310091,gallons,,R4,Known large lot / livestock
M-1034,"338 Cottonwood Dr, Wiley, CO 81092",Resident 1034,A-20034,2024-08-12,351561,gallons,,R5,
M-1035,"345 Sand Creek Rd, Wiley, CO 81092",Resident 1035,A-20035,2024-08-12,403010,gallons,,R6,
M-1036,"352 Prairie View, Wiley, CO 81092",Resident 1036,A-20036,2024-08-12,307976,gallons,,R1,
M-1037,"359 School House Rd, Wiley, CO 81092",Resident 1037,A-20037,2024-08-12,141658,gallons,,R2,
M-1038,"366 Cemetery Rd, Wiley, CO 81092",Resident 1038,A-20038,2024-08-12,154490,gallons,,R3,
M-1039,"373 Grain Elevator Rd, Wiley, CO 81092",Resident 1039,A-20039,2024-08-12,217103,gallons,,R4,
M-1040,"380 Main St, Wiley, CO 81092",Resident 1040,A-20040,2024-08-12,171829,gallons,,R5,
M-1041,"387 County Rd 10, Wiley, CO 81092",Resident 1041,A-20041,2024-08-12,87650,gallons,,R6,
M-1042,"394 County Rd 14, Wiley, CO 81092",Resident 1042,A-20042,2024-08-12,359290,gallons,,R1,
M-1043,"401 Highway 287, Wiley, CO 81092",Resident 1043,A-20043,2024-08-12,338360,gallons,,R2,
M-1044,"408 Maple Ave, Wiley, CO 81092",Resident 1044,A-20044,2024-08-12,86965,gallons,,R3,
M-1045,"415 Oak St, Wiley, CO 81092",Resident 1045,A-20045,2024-08-12,225050,gallons,,R4,
M-1046,"422 Elm St, Wiley, CO 81092",Resident 1046,A-20046,2024-08-12,86301,gallons,,R5,
M-1047,"429 3rd Ave, Wiley, CO 81092",Resident 1047,A-20047,2024-08-12,80438,gallons,,R6,
M-1048,"436 5th St, Wiley, CO 81092",Resident 1048,A-20048,2024-08-12,359838,gallons,,R1,
M-1049,"443 Ranch Rd, Wiley, CO 81092",Resident 1049,A-20049,2024-08-12,306567,gallons,,R2,
M-1050,"450 Irrigation Ln, Wiley, CO 81092",Resident 1050,A-20050,2024-08-12,317912,gallons,,R3,
M-1051,"457 North Frontage, Wiley, CO 81092",Resident 1051,A-20051,2024-08-12,335831,gallons,,R4,
M-1052,"464 South Loop, Wiley, CO 81092",Resident 1052,A-20052,2024-08-12,138427,gallons,,R5,
M-1053,"471 Pioneer Rd, Wiley, CO 81092",Resident 1053,A-20053,2024-08-12,89199,gallons,,R6,
M-1054,"478 Cottonwood Dr, Wiley, CO 81092",Resident 1054,A-20054,2024-08-12,322217,gallons,,R1,
M-1055,"485 Sand Creek Rd, Wiley, CO 81092",Resident 1055,A-20055,2024-08-12,95363,gallons,,R2,
M-1056,"492 Prairie View, Wiley, CO 81092",Resident 1056,A-20056,2024-08-12,157493,gallons,,R3,
M-1057,"499 School House Rd, Wiley, CO 81092",Resident 1057,A-20057,2024-08-12,93781,gallons,,R4,
