meter_id,service_addr,customer,acct,read_dt,reading,units,diag,route,comment
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/07/13,418040,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/08/14,427266,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/09/15,436499,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/10/16,443640,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/11/12,449238,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/12/13,454794,gal,,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/07/13,323951,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/08/14,328533,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/09/15,331664,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/10/16,334852,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/11/12,337500,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/12/13,339898,gal,,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/07/13,153199,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/08/14,156726,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/09/15,159293,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/10/16,161504,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/11/12,163241,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/12/13,165023,gal,,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/07/13,375747,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/08/14,386518,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/09/15,395049,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/10/16,404095,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/11/12,410078,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/12/13,416386,gal,,R5,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/07/13,201369,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/08/14,207541,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/09/15,212899,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/10/16,216806,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/11/12,220414,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/12/13,224076,gal,,R6,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025/07/13,247355,gal,,R1,
