Meter ID,Service Address,Occupant Name,Account Number,Meter Size,Install Date,Manufacturer,Model,Serial,Meter Type,Route,Notes
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,"1""",2012-04-16,Sensus,Model-504,SN100013,positive displacement,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,"1.5""",2018-12-02,Neptune,Model-631,SN100026,positive displacement,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,"5/8""",2023-02-24,Master Meter,Model-231,SN100039,positive displacement,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,"5/8""",2018-01-07,Badger,Model-156,SN100052,positive displacement,R5,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,"3/4""",2020-06-13,Sensus,Model-507,SN100065,positive displacement,R6,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,"5/8""",2021-01-13,Neptune,Model-257,SN100078,positive displacement,R1,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,"1.5""",2022-02-11,Master Meter,Model-863,SN100091,positive displacement,R2,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,"5/8""",2015-03-25,Badger,Model-323,SN100104,positive displacement,R3,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,"1""",2016-06-02,Sensus,Model-540,SN100117,positive displacement,R4,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,"3/4""",2020-07-19,Neptune,Model-211,SN100130,positive displacement,R5,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,"1.5""",2019-07-25,Master Meter,Model-674,SN100143,positive displacement,R6,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,"3/4""",2022-10-07,Badger,Model-637,SN100156,positive displacement,R1,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,"1""",2016-12-02,Sensus,Model-218,SN100169,positive displacement,R2,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,"1""",2015-09-01,Neptune,Model-640,SN100182,positive displacement,R3,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,"3/4""",2019-06-10,Master Meter,Model-343,SN100195,positive displacement,R4,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,"3/4""",2019-07-02,Badger,Model-317,SN100208,positive displacement,R5,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,"1""",2015-10-24,Sensus,Model-227,SN100221,positive displacement,R6,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,"5/8""",2012-11-12,Neptune,Model-562,SN100234,positive displacement,R1,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,"5/8""",2023-10-27,Master Meter,Model-148,SN100247,positive displacement,R2,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,"1""",2020-10-19,Badger,Model-824,SN100260,positive displacement,R3,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,"1""",2013-05-19,Sensus,Model-286,SN100273,positive displacement,R4,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,"1.5""",2012-05-19,Neptune,Model-269,SN100286,positive displacement,R5,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,"1.5""",2018-10-19,Master Meter,Model-484,SN100299,positive displacement,R6,
M-1024,"268 Maple Ave, Wiley, CO 81092",Resident 1024,A-20024,"1""",2022-09-21,Badger,Model-719,SN100312,positive displacement,R1,
M-1025,"275 Oak St, Wiley, CO 81092",Resident 1025,A-20025,"1.5""",2021-02-17,Sensus,Model-402,SN100325,positive displacement,R2,
M-1026,"282 Elm St, Wiley, CO 81092",Resident 1026,A-20026,"1""",2014-10-13,Neptune,Model-752,SN100338,positive displacement,R3,
M-1027,"289 3rd Ave, Wiley, CO 81092",Resident 1027,A-20027,"3/4""",2021-03-11,Master Meter,Model-678,SN100351,positive displacement,R4,
M-1028,"296 5th St, Wiley, CO 81092",Resident 1028,A-20028,"1""",2013-01-25,Badger,Model-612,SN100364,positive displacement,R5,
M-1029,"303 Ranch Rd, Wiley, CO 81092",Resident 1029,A-20029,"3/4""",2016-03-07,Sensus,Model-210,SN100377,positive displacement,R6,
M-1030,"310 Irrigation Ln, Wiley, CO 81092",Resident 1030,A-20030,"3/4""",2014-05-25,Neptune,Model-244,SN100390,positive displacement,R1,
M-1031,"317 North Frontage, Wiley, CO 81092",Resident 1031,A-20031,"1.5""",2018-10-18,Master Meter,Model-156,SN100403,positive displacement,R2,
M-1032,"324 South Loop, Wiley, CO 81092",Resident 1032,A-20032,"5/8""",2018-09-16,Badger,Model-258,SN100416,positive displacement,R3,
M-1033,"331 Pioneer Rd, Wiley, CO 81092",Resident 1033,A-20033,"5/8""",2018-08-25,Sensus,Model-527,SN100429,positive displacement,R4,Livestock
M-1034,"338 Cottonwood Dr, Wiley, CO 81092",Resident 1034,A-20034,"1.5""",2012-03-24,Neptune,Model-321,SN100442,positive displacement,R5,
M-1035,"345 Sand Creek Rd, Wiley, CO 81092",Resident 1035,A-20035,"3/4""",2016-09-20,Master Meter,Model-325,SN100455,positive displacement,R6,
M-1036,"352 Prairie View, Wiley, CO 81092",Resident 1036,A-20036,"1""",2017-11-08,Badger,Model-632,SN100468,positive displacement,R1,
M-1037,"359 School House Rd, Wiley, CO 81092",Resident 1037,A-20037,"5/8""",2014-05-27,Sensus,Model-103,SN100481,positive displacement,R2,
M-1038,"366 Cemetery Rd, Wiley, CO 81092",Resident 1038,A-20038,"1.5""",2017-11-04,Neptune,Model-245,SN100494,positive displacement,R3,
M-1039,"373 Grain Elevator Rd, Wiley, CO 81092",Resident 1039,A-20039,"1.5""",2023-06-01,Master Meter,Model-662,SN100507,positive displacement,R4,
M-1040,"380 Main St, Wiley, CO 81092",Resident 1040,A-20040,"1.5""",2014-10-25,Badger,Model-467,SN100520,positive displacement,R5,
M-1041,"387 County Rd 10, Wiley, CO 81092",Resident 1041,A-20041,"3/4""",2020-07-22,Sensus,Model-372,SN100533,positive displacement,R6,
M-1042,"394 County Rd 14, Wiley, CO 81092",Resident 1042,A-20042,"1.5""",2013-10-13,Neptune,Model-452,SN100546,positive displacement,R1,
M-1043,"401 Highway 287, Wiley, CO 81092",Resident 1043,A-20043,"5/8""",2018-04-01,Master Meter,Model-675,SN100559,positive displacement,R2,
M-1044,"408 Maple Ave, Wiley, CO 81092",Resident 1044,A-20044,"1.5""",2019-02-22,Badger,Model-802,SN100572,positive displacement,R3,
M-1045,"415 Oak St, Wiley, CO 81092",Resident 1045,A-20045,"3/4""",2014-09-11,Sensus,Model-685,SN100585,positive displacement,R4,
M-1046,"422 Elm St, Wiley, CO 81092",Resident 1046,A-20046,"5/8""",2017-05-27,Neptune,Model-296,SN100598,positive displacement,R5,
M-1047,"429 3rd Ave, Wiley, CO 81092",Resident 1047,A-20047,"1.5""",2016-09-05,Master Meter,Model-346,SN100611,positive displacement,R6,
M-1048,"436 5th St, Wiley, CO 81092",Resident 1048,A-20048,"1""",2021-09-09,Badger,Model-741,SN100624,positive displacement,R1,
M-1049,"443 Ranch Rd, Wiley, CO 81092",Resident 1049,A-20049,"5/8""",2012-03-16,Sensus,Model-870,SN100637,positive displacement,R2,
M-1050,"450 Irrigation Ln, Wiley, CO 81092",Resident 1050,A-20050,"5/8""",2015-01-22,Neptune,Model-626,SN100650,positive displacement,R3,
M-1051,"457 North Frontage, Wiley, CO 81092",Resident 1051,A-20051,"1.5""",2018-07-03,Master Meter,Model-156,SN100663,positive displacement,R4,
M-1052,"464 South Loop, Wiley, CO 81092",Resident 1052,A-20052,"1.5""",2013-09-07,Badger,Model-176,SN100676,positive displacement,R5,
M-1053,"471 Pioneer Rd, Wiley, CO 81092",Resident 1053,A-20053,"3/4""",2013-10-11,Sensus,Model-126,SN100689,positive displacement,R6,
M-1054,"478 Cottonwood Dr, Wiley, CO 81092",Resident 1054,A-20054,"5/8""",2012-07-17,Neptune,Model-157,SN100702,positive displacement,R1,
M-1055,"485 Sand Creek Rd, Wiley, CO 81092",Resident 1055,A-20055,"1""",2021-02-10,Master Meter,Model-744,SN100715,positive displacement,R2,
M-1056,"492 Prairie View, Wiley, CO 81092",Resident 1056,A-20056,"5/8""",2021-12-11,Badger,Model-155,SN100728,positive displacement,R3,
M-1057,"499 School House Rd, Wiley, CO 81092",Resident 1057,A-20057,"1.5""",2019-03-28,Sensus,Model-744,SN100741,positive displacement,R4,
M-1058,"506 Cemetery Rd, Wiley, CO 81092",Resident 1058,A-20058,"3/4""",2020-10-15,Neptune,Model-757,SN100754,positive displacement,R5,
M-1059,"513 Grain Elevator Rd, Wiley, CO 81092",Resident 1059,A-20059,"3/4""",2018-01-24,Master Meter,Model-477,SN100767,positive displacement,R6,
M-1060,"520 Main St, Wiley, CO 81092",Resident 1060,A-20060,"1""",2015-05-01,Badger,Model-607,SN100780,positive displacement,R1,
M-1061,"527 County Rd 10, Wiley, CO 81092",Resident 1061,A-20061,"1.5""",2019-10-10,Sensus,Model-500,SN100793,positive displacement,R2,
M-1062,"534 County Rd 14, Wiley, CO 81092",Resident 1062,A-20062,"5/8""",2014-12-15,Neptune,Model-243,SN100806,positive displacement,R3,
M-1063,"541 Highway 287, Wiley, CO 81092",Resident 1063,A-20063,"1.5""",2023-07-22,Master Meter,Model-233,SN100819,positive displacement,R4,
M-1064,"548 Maple Ave, Wiley, CO 81092",Resident 1064,A-20064,"3/4""",2021-06-01,Badger,Model-668,SN100832,positive displacement,R5,
M-1065,"555 Oak St, Wiley, CO 81092",Resident 1065,A-20065,"1.5""",2013-12-21,Sensus,Model-585,SN100845,positive displacement,R6,
M-1066,"562 Elm St, Wiley, CO 81092",Resident 1066,A-20066,"5/8""",2018-03-19,Neptune,Model-816,SN100858,positive displacement,R1,
M-1067,"569 3rd Ave, Wiley, CO 81092",Resident 1067,A-20067,"5/8""",2021-05-01,Master Meter,Model-506,SN100871,positive displacement,R2,
M-1068,"576 5th St, Wiley, CO 81092",Resident 1068,A-20068,"1""",2020-02-07,Badger,Model-303,SN100884,positive displacement,R3,
M-1069,"583 Ranch Rd, Wiley, CO 81092",Resident 1069,A-20069,"1.5""",2015-04-03,Sensus,Model-235,SN100897,positive displacement,R4,
M-1070,"590 Irrigation Ln, Wiley, CO 81092",Resident 1070,A-20070,"1""",2017-12-06,Neptune,Model-307,SN100910,positive displacement,R5,
M-1071,"597 North Frontage, Wiley, CO 81092",Resident 1071,A-20071,"1.5""",2017-02-15,Master Meter,Model-657,SN100923,positive displacement,R6,
M-1072,"604 South Loop, Wiley, CO 81092",Resident 1072,A-20072,"1.5""",2013-01-07,Badger,Model-268,SN100936,positive displacement,R1,
M-1073,"611 Pioneer Rd, Wiley, CO 81092",Resident 1073,A-20073,"5/8""",2022-02-20,Sensus,Model-267,SN100949,positive displacement,R2,
M-1074,"618 Cottonwood Dr, Wiley, CO 81092",Resident 1074,A-20074,"1.5""",2012-02-08,Neptune,Model-868,SN100962,positive displacement,R3,
